País de entrada;Número de personas;Países de salida;iso3
Antigua y Barbuda;6601;Guyana;GUY
Antigua y Barbuda;484;Dominica;DMA
Antigua y Barbuda;4069;Jamaica;JAM
Antigua y Barbuda;2678;Estados Unidos de América;USA
Antigua y Barbuda;1819;República Dominicana;DOM
Antigua y Barbuda;1013;Reino Unido;GBR
Antigua y Barbuda;936;San Vicente y las Granadinas;VCT
Antigua y Barbuda;734;Trinidad y Tobago;TTO
Antigua y Barbuda;689;Santa Lucía;LCA
Antigua y Barbuda;485;San Cristóbal y Nieves;KNA
Antigua y Barbuda;442;Canadá;CAN
Antigua y Barbuda;308;Barbados;BRB
Antigua y Barbuda;248;Siria;SYR
Antigua y Barbuda;195;Granada;GRD
Antigua y Barbuda;136;China;CHN
Antigua y Barbuda;91;Etiopía;ETH
Antigua y Barbuda;84;Alemania;DEU
Antigua y Barbuda;80;India;IND
Antigua y Barbuda;73;Italia;ITA
Antigua y Barbuda;56;Líbano;LBN
Antigua y Barbuda;45;Surinám;SUR
Antigua y Barbuda;45;Sudáfrica;ZAF
Antigua y Barbuda;41;Francia;FRA
Antigua y Barbuda;40;Nigeria;NGA
Antigua y Barbuda;39;Venezuela;VEN
Antigua y Barbuda;33;Haití;HTI
Antigua y Barbuda;31;Ghana;GHA
Antigua y Barbuda;20;Japón;JPN
Antigua y Barbuda;20;Cuba;CUB
Antigua y Barbuda;16;Países Bajos;NLD
Argentina;704503;Paraguay;PRY
Argentina;434759;Bolivia;BOL
Argentina;221109;Chile;CHL
Argentina;202643;Perú;PER
Argentina;158049;Italia;ITA
Argentina;137726;Uruguay;URY
Argentina;101726;España;ESP
Argentina;50621;Brasil;BRA
Argentina;14936;China;CHN
Argentina;9588;Alemania;DEU
Argentina;8963;Colombia;COL
Argentina;8465;Francia;FRA
Argentina;8459;Corea del Sur;KOR
Argentina;7589;Polonia;POL
Argentina;5327;Estados Unidos de América;USA
Argentina;5147;Portugal;PRT
Argentina;4619;Japón;JPN
Argentina;4573;Ucrania;UKR
Argentina;1954;Rusia;RUS
Argentina;186;República Checa;CZE
Argentina;1544;Macedônia;MKD
Argentina;1504;México;MEX
Argentina;1286;Venezuela;VEN
Argentina;1167;Siria;SYR
Argentina;1147;Cuba;CUB
Argentina;1118;Rumanía;ROU
Argentina;106;Austria;AUT
Argentina;1055;Grecia;GRC
Argentina;1022;Croacia;HRV
Argentina;990;Ecuador;ECU
Bahamas;28754;Haití;HTI
Bahamas;10071;Estados Unidos de América;USA
